alt barom Gx Gy Gz Ax Ay Az Mx My Mz t GPS_La GPS_Lo
1.62 994.70 2.35 0.20 0.45 0.01 0.01 1.01 0.95 0.36 -0.30 935.457 4053.99 7452.04
1.73 994.69 2.72 0.26 0.58 0.01 0.01 1.0 0.95 0.37 -0.30 935.958 4053.99 7452.04
1.83 994.67 2.54 0.21 0.52 0.01 0.01 1.0 0.95 0.37 -0.29 936.459 4053.99 7452.04
1.99 994.66 2.55 0.31 0.38 0.01 0.01 1.0 0.95 0.37 -0.30 936.961 4053.99 7452.04
1.56 994.71 2.39 0.32 0.38 0.01 0.02 1.0 0.95 0.37 -0.30 937.461 4053.99 7452.04
1.34 994.73 2.69 0.25 0.38 0.01 0.01 1.0 0.95 0.37 -0.30 937.962 4053.99 7452.04
1.34 994.73 2.44 0.37 0.46 0.01 0.01 1.01 0.95 0.37 -0.30 938.463 4053.99 7452.04
1.61 994.70 2.45 0.29 0.31 0.01 0.02 1.01 0.95 0.37 -0.30 938.964 4053.99 7452.04
1.97 994.66 2.30 0.60 0.26 0.01 0.01 1.01 0.95 0.37 -0.30 939.465 4053.99 7452.04
1.68 994.69 2.47 0.34 0.21 0.01 0.02 1.0 0.95 0.37 -0.30 939.966 4053.99 7452.04
1.77 994.68 2.42 0.31 0.24 0.01 0.01 1.0 0.95 0.37 -0.29 940.467 4053.99 7452.04
1.74 994.69 2.49 0.25 0.45 0.01 0.02 1.0 0.95 0.37 -0.30 940.968 4053.99 7452.04
1.87 994.67 2.55 0.24 0.37 0.01 0.01 1.01 0.95 0.37 -0.29 941.469 4053.99 7452.04
3.42 994.49 6.06 -46.94 0.31 -0.13 0.03 2.0 1.04 0.27 -0.28 941.973 4053.99 7452.04
13.69 993.28 -3.43 -17.10 -34.08 0.02 -0.02 2.0 1.00 0.26 -0.30 942.478 4053.99 7452.04
32.61 991.05 -12.25 -34.26 19.18 0.00 -0.04 2.0 0.93 0.32 -0.34 942.98 4053.99 7452.04
51.34 988.85 11.86 -28.31 -8.73 0.01 0.01 1.53 1.01 0.35 -0.25 943.478 4053.99 7452.04
71.96 986.43 -1.86 -55.26 3.11 -0.07 -0.02 0.23 1.05 0.33 -0.21 943.98 4053.99 7452.04
84.14 985.01 3.12 -61.29 -8.64 -0.20 0.39 -0.03 1.18 0.33 -0.23 944.479 4053.99 7452.04
98.87 983.29 6.45 -65.54 -5.18 -0.01 0.01 -0.03 1.24 0.32 -0.27 944.98 4053.99 7452.04
110.06 981.98 -0.27 -68.70 0.83 -0.02 0.02 -0.02 1.30 0.32 -0.37 945.482 4053.99 7452.04
118.92 980.95 6.05 -58.78 1.72 -0.01 0.00 0.0 1.30 0.32 -0.47 945.983 4053.99 7452.04
125.97 980.12 5.62 -52.43 10.15 -0.01 0.00 0.0 1.27 0.32 -0.55 946.486 4053.99 7452.04
130.18 979.63 -0.33 -48.83 15.80 -0.02 0.01 0.01 1.24 0.30 -0.60 946.989 4053.99 7452.04
132.49 979.36 -10.09 -54.48 18.57 -0.01 0.02 0.01 1.18 0.27 -0.67 947.49 4053.99 7452.04
134.02 979.19 7.56 -83.23 -10.38 -0.23 0.29 -0.16 1.05 0.23 -0.72 947.989 4053.99 7452.04
135.93 978.96 -69.29 -41.17 -5.84 -0.00 0.12 -0.27 0.86 0.20 -0.67 948.492 4053.99 7452.05
134.43 979.14 -51.81 -13.00 -33.12 0.02 0.07 -0.03 0.78 -0.06 -0.71 948.994
130.64 979.58 10.13 80.77 -2.99 -0.04 0.21 -0.1 0.89 -0.20 -0.78 949.492
104.92 982.58 -100.43 152.56 -2.15 -0.52 0.05 -1.94 1.30 -0.10 -0.83 949.996
94.91 983.75 87.87 1.68 -96.50 0.53 0.27 0.08 1.55 -0.28 -0.64 950.494
117.01 981.17 -30.97 -256.47 89.26 0.11 0.57 0.23 1.02 0.20 -0.74 950.998
86.31 984.75 -236.80 203.26 100.38 -0.23 0.52 -0.27 1.05 -0.40 -0.75 951.499
82.80 985.16 -4.67 286.68 30.00 0.42 0.70 -0.51 1.20 -0.58 -0.57 951.996 4053.99 7452.05
60.03 987.83 86.28 73.55 19.28 0.69 -0.37 -0.39 1.34 -0.60 -0.43 952.498 4053.99 7452.05
48.27 989.21 11.08 -120.15 -12.17 0.76 0.38 -0.2 1.20 -0.55 -0.62 953.0 4053.99 7452.05
54.84 988.44 83.97 -67.04 -274.53 0.05 1.16 -0.31 1.24 -0.47 -0.73 953.501 4054.00 7452.05
31.27 991.21 -166.08 35.29 -107.52 -0.30 2.00 -0.14 1.38 -0.29 -0.78 954.004 4054.00 7452.05
19.28 992.62 59.07 -286.72 -152.79 -0.09 -0.78 -0.11 1.22 -0.34 -0.81 954.507 4054.00 7452.05
2.82 994.56 -208.15 286.68 -286.72 0.05 1.33 -2.0 1.14 -0.59 -0.53 955.005 4054.00 7452.05
0.69 994.81 -21.57 28.31 -3.17 0.71 0.08 -0.44 1.59 -0.26 -0.57 955.502 4054.00 7452.06
1.18 994.75 4.08 -0.98 1.65 0.82 -0.12 -0.44 1.60 -0.26 -0.55 956.001 4054.00 7452.06
0.82 994.79 3.86 0.81 -8.85 0.91 0.34 -0.39 1.57 -0.23 -0.61 956.502 4054.01 7452.06
0.88 994.79 -0.31 3.06 0.29 0.90 0.09 -0.39 1.58 -0.23 -0.59 957.002 4054.01 7452.06
0.95 994.78 2.36 0.22 0.51 0.89 0.08 -0.39 1.59 -0.23 -0.59 957.502 4054.01 7452.06
1.59 994.70 2.40 0.40 -0.01 0.89 0.08 -0.39 1.59 -0.23 -0.59 958.004 4054.01 7452.06
0.92 994.78 2.04 0.51 0.24 0.89 0.08 -0.39 1.59 -0.22 -0.59 958.504 4054.01 7452.06
1.39 994.73 1.99 0.56 0.45 0.90 0.08 -0.39 1.59 -0.23 -0.59 959.005 4054.01 7452.06
1.07 994.76 2.49 0.47 0.27 0.89 0.08 -0.39 1.59 -0.23 -0.58 959.506 4054.02 7452.06
1.11 994.76 2.26 0.08 0.04 0.90 0.07 -0.39 1.59 -0.23 -0.58 960.007 4054.02 7452.06
1.44 994.72 2.39 0.30 0.31 0.89 0.07 -0.4 1.58 -0.23 -0.58 960.508 4054.02 7452.06
1.49 994.72 2.34 0.26 0.26 0.90 0.07 -0.39 1.59 -0.23 -0.57 961.009 4054.02 7452.06
0.59 994.82 2.55 0.31 0.29 0.91 0.07 -0.38 1.59 -0.23 -0.58 961.51 4054.02 7452.06
0.89 994.79 2.22 0.21 0.18 0.90 0.07 -0.38 1.59 -0.23 -0.58 962.011 4054.02 7452.06
1.01 994.77 2.58 0.26 0.18 0.89 0.07 -0.38 1.59 -0.23 -0.58 962.512 4054.02 7452.06
1.01 994.77 2.59 0.38 0.22 0.90 0.07 -0.39 1.59 -0.23 -0.58 963.013 4054.02 7452.06
0.63 994.82 2.44 0.17 0.32 0.90 0.07 -0.38 1.59 -0.23 -0.59 963.514 4054.02 7452.06
1.08 994.76 2.40 0.26 0.43 0.89 0.07 -0.38 1.59 -0.23 -0.58 964.016 4054.02 7452.06
0.62 994.82 2.36 0.12 0.26 0.90 0.07 -0.38 1.59 -0.23 -0.58 964.517 4054.03 7452.06
0.84 994.79 2.43 0.19 0.39 0.89 0.07 -0.38 1.59 -0.23 -0.59 965.018 4054.03 7452.06
0.90 994.78 2.50 0.27 0.17 0.90 0.07 -0.38 1.59 -0.23 -0.59 965.519 4054.03 7452.06
1.00 994.77 2.41 0.16 0.08 0.91 0.08 -0.38 1.59 -0.22 -0.59 966.021 4054.03 7452.06
1.50 994.71 2.50 0.19 0.19 0.90 0.07 -0.38 1.60 -0.23 -0.58 966.521 4054.03 7452.06
1.09 994.76 2.38 0.39 0.42 0.90 0.07 -0.38 1.59 -0.23 -0.58 967.022 4054.03 7452.06
1.26 994.74 2.55 0.18 0.33 0.90 0.06 -0.37 1.59 -0.23 -0.59 967.523 4054.03 7452.06
0.49 994.83 2.45 0.25 0.22 0.91 0.07 -0.38 1.59 -0.23 -0.59 968.025 4054.03 7452.06
1.38 994.73 2.30 0.31 0.29 0.90 0.07 -0.38 1.59 -0.23 -0.59 968.525 4054.03 7452.06
1.12 994.76 2.55 0.23 0.34 0.90 0.07 -0.38 1.59 -0.23 -0.58 969.026 4054.03 7452.06
1.04 994.77 2.39 0.29 0.35 0.90 0.07 -0.38 1.59 -0.22 -0.58 969.527 4054.03 7452.06
1.06 994.77 2.53 0.15 0.15 0.89 0.07 -0.38 1.59 -0.23 -0.58 970.029 4054.03 7452.06
1.42 994.72 2.39 0.39 0.17 0.90 0.07 -0.38 1.59 -0.23 -0.58 970.529 4054.03 7452.06
0.97 994.78 2.24 0.39 0.31 0.90 0.08 -0.39 1.59 -0.23 -0.58 971.03 4054.03 7452.06
1.23 994.75 2.63 0.06 0.32 0.90 0.07 -0.38 1.59 -0.23 -0.58 971.531 4054.03 7452.06
0.71 994.81 2.50 0.34 0.31 0.91 0.07 -0.38 1.59 -0.23 -0.58 972.033 4054.03 7452.06
1.26 994.74 2.58 0.22 0.35 0.90 0.07 -0.38 1.59 -0.23 -0.58 972.533 4054.03 7452.06
1.52 994.71 2.42 0.38 0.33 0.91 0.07 -0.38 1.59 -0.23 -0.58 973.034 4054.03 7452.06
1.11 994.76 2.52 -0.03 0.44 0.90 0.07 -0.42 1.59 -0.23 -0.59 973.536 4054.03 7452.06
0.94 994.78 2.61 0.48 0.36 0.90 0.07 -0.38 1.59 -0.22 -0.58 974.036 4054.03 7452.06
0.71 994.81 2.56 0.38 0.03 0.90 0.07 -0.38 1.59 -0.23 -0.58 974.537 4054.03 7452.06
0.77 994.80 2.38 0.16 0.21 0.90 0.07 -0.38 1.59 -0.23 -0.58 975.038 4054.03 7452.06
