alt barom GPS_La GPS_Lo Gx Gy Gz Ax Ay Az Mx My Mz t
0.47 994.75 4053.99 7452.04 1.95 -0.10 0.39 -0.10 0.05 1.0 1.32 0.35 -0.44 520.088
-0.01 994.81 4053.99 7452.04 1.94 0.75 0.53 -0.11 0.07 1.0 1.32 0.35 -0.44 520.589
-0.13 994.82 4053.99 7452.04 2.05 0.67 0.72 -0.10 0.06 0.99 1.32 0.35 -0.44 521.091
-0.07 994.81 4053.99 7452.04 1.86 -0.03 0.74 -0.10 0.07 1.0 1.32 0.35 -0.43 521.592
-0.01 994.81 4053.99 7452.04 1.96 -0.03 0.77 -0.10 0.07 1.0 1.33 0.35 -0.43 522.093
0.20 994.78 4053.99 7452.04 2.35 0.63 0.60 -0.10 0.07 1.0 1.32 0.35 -0.44 522.592
0.23 994.78 4053.99 7452.04 1.90 0.90 0.56 -0.10 0.08 0.99 1.32 0.35 -0.43 523.094
0.34 994.77 4053.99 7452.04 2.30 0.01 0.85 -0.10 0.07 1.0 1.33 0.35 -0.44 523.594
0.10 994.80 4053.99 7452.04 1.92 -0.24 0.85 -0.10 0.07 1.0 1.32 0.35 -0.44 524.096
0.46 994.75 4053.99 7452.04 1.93 0.00 0.58 -0.10 0.07 1.0 1.33 0.35 -0.44 524.596
-0.21 994.83 4053.99 7452.04 2.08 0.74 0.68 -0.10 0.07 1.0 1.32 0.35 -0.44 525.099
0.10 994.80 4053.99 7452.04 1.98 0.22 0.55 -0.11 0.07 1.0 1.32 0.35 -0.44 525.598
0.44 994.75 4053.99 7452.04 1.96 -0.19 0.64 -0.10 0.07 1.0 1.32 0.36 -0.45 526.1
0.66 994.73 4053.99 7452.04 2.14 0.66 0.61 -0.10 0.07 1.0 1.32 0.36 -0.45 526.6
-0.02 994.81 4053.99 7452.04 2.16 0.33 0.55 -0.10 0.07 1.0 1.33 0.35 -0.44 527.102
0.44 994.75 4053.99 7452.04 -3.49 -3.25 1.45 -0.09 0.22 1.46 1.33 0.35 -0.45 527.604
9.39 993.70 4053.99 7452.04 -81.85 14.46 26.77 -0.18 -0.10 2.0 1.31 0.24 -0.46 528.108
29.87 991.29 4053.99 7452.04 3.22 -126.01 56.01 0.04 -0.21 2.0 0.91 0.07 -0.61 528.609
34.57 990.74 4053.99 7452.04 24.54 18.82 -44.13 -0.24 0.06 1.87 0.96 0.24 -0.47 529.111
51.20 988.78 4053.99 7452.04 12.36 72.86 21.76 0.01 -0.08 0.83 0.98 0.11 -0.61 529.61
61.99 987.52 4053.99 7452.04 -23.90 173.90 3.26 0.02 0.05 0.03 1.37 0.16 -0.53 530.111
71.54 986.40 4053.99 7452.04 9.98 197.10 6.23 -0.04 0.01 -0.04 1.47 0.10 -0.05 530.611
79.58 985.46 4054.00 7452.04 21.09 180.28 1.01 -0.04 -0.02 -0.03 0.86 0.10 -0.02 531.115
85.54 984.76 4054.00 7452.04 -8.96 170.73 -17.10 -0.03 0.00 -0.01 0.84 0.02 -0.58 531.616
89.19 984.33 4054.00 7452.03 -18.77 158.50 8.54 -0.03 0.01 -0.01 1.47 -0.10 -0.63 532.117
91.10 984.11 4054.00 7452.03 -1.60 140.62 34.40 -0.01 -0.00 -0.02 1.64 -0.21 -0.10 532.62
89.68 984.28 4054.00 7452.02 -41.89 126.11 -32.13 0.45 0.41 -0.44 1.29 -0.28 0.06 533.12
87.11 984.58 4054.00 7452.02 40.03 115.50 -23.89 -0.10 -0.57 -0.38 0.81 -0.16 -0.08 533.622
83.21 985.03 4054.00 7452.00 35.35 57.60 4.04 0.06 -0.01 -0.47 0.83 -0.44 -0.49 534.119
77.00 985.76 4054.00 7452.00 -41.96 109.49 -59.86 -0.10 -0.08 -0.56 1.03 -0.52 -0.65 534.626
69.49 986.64 4054.01 7451.99 6.43 -0.07 67.49 0.21 0.03 -0.6 1.39 -0.56 -0.63 535.12
60.95 987.64 4054.01 7451.99 -46.15 53.80 -105.61 0.03 -0.00 -0.87 1.33 -0.62 -0.54 535.626
53.21 988.55 4054.01 7451.98 39.68 -56.79 39.27 -0.16 0.03 -0.82 1.32 -0.63 -0.54 536.125
42.68 989.78 4054.01 7451.98 -60.17 -91.92 -31.62 0.13 -0.12 -0.81 1.39 -0.61 -0.53 536.629
32.62 990.97 4054.02 7451.97 -21.71 -240.45 42.21 0.03 -0.12 -1.18 1.09 -0.63 -0.44 537.129
22.69 992.13 4054.02 7451.97 4.01 -286.72 1.95 0.13 -0.19 -0.99 1.34 -0.61 -0.20 537.627
11.94 993.40 4054.01 7451.96 -4.41 -286.72 -20.44 -0.01 -0.15 -0.9 1.16 -0.64 -0.49 538.132
1.25 994.66 4054.01 7451.96 18.86 -286.72 17.31 -0.07 -0.15 -0.8 1.35 -0.63 -0.26 538.632
-0.47 994.86 4054.01 7451.95 2.56 -0.52 0.63 -0.26 -0.00 -0.77 1.34 -0.62 -0.24 539.129
-1.00 994.92 4054.01 7451.95 1.81 0.24 0.56 -0.16 -0.12 -0.98 1.34 -0.61 -0.23 539.629
-0.60 994.88 4054.01 7451.95 2.32 0.29 0.47 -0.16 -0.13 -0.98 1.34 -0.62 -0.23 540.13
-1.04 994.93 4054.01 7451.95 2.06 0.45 0.67 -0.17 -0.13 -0.98 1.34 -0.62 -0.23 540.632
-1.06 994.93 4054.01 7451.95 2.07 0.41 0.52 -0.17 -0.12 -0.98 1.34 -0.62 -0.23 541.132
