alt barom GPS_La GPS_Lo Gx Gy Gz Ax Ay Az Mx My Mz t
1.13 995.14 4053.99 7452.04 2.36 0.55 0.31 -0.03 -0.00 1.01 0.88 0.39 -0.45 442.355
0.90 995.16 4053.99 7452.04 2.32 0.06 0.67 -0.03 -0.01 1.0 0.88 0.39 -0.44 442.949
0.90 995.16 4053.99 7452.04 2.58 0.14 0.40 -0.03 -0.01 1.0 0.88 0.39 -0.45 443.357
0.76 995.18 4053.99 7452.04 2.53 0.37 0.56 -0.03 -0.01 1.0 0.88 0.39 -0.45 443.947
0.96 995.16 4053.99 7452.04 2.31 0.14 0.38 -0.03 -0.01 1.0 0.87 0.39 -0.44 444.359
0.97 995.16 4053.99 7452.04 2.74 0.31 0.31 -0.03 -0.01 1.0 0.87 0.39 -0.44 444.938
0.81 995.17 4053.99 7452.04 2.46 0.67 0.16 -0.03 -0.01 1.01 0.88 0.39 -0.44 445.362
1.08 995.14 4053.99 7452.04 0.20 0.24 0.46 -0.03 -0.01 1.0 0.88 0.40 -0.45 445.956
0.62 995.20 4053.99 7452.04 2.45 0.20 0.56 -0.03 -0.01 1.0 0.87 0.39 -0.45 446.364
0.41 995.22 4053.99 7452.04 2.37 0.31 0.48 -0.05 -0.01 1.01 0.88 0.39 -0.45 446.938
0.79 995.18 4053.99 7452.04 2.59 0.36 0.53 -0.03 -0.01 1.01 0.87 0.40 -0.45 447.367
1.16 995.13 4053.99 7452.04 2.41 0.45 0.58 -0.03 -0.01 1.0 0.88 0.39 -0.44 447.965
0.93 995.16 4053.99 7452.04 2.30 0.34 0.34 -0.03 -0.01 1.01 0.88 0.39 -0.44 448.368
0.61 995.20 4053.99 7452.04 2.01 0.25 0.41 -0.03 -0.01 1.0 0.88 0.39 -0.45 448.947
0.79 995.18 4053.99 7452.04 2.32 0.38 0.52 -0.03 -0.01 1.0 0.88 0.39 -0.45 449.371
0.62 995.20 4053.99 7452.04 2.20 0.34 0.35 -0.03 0.01 1.01 0.88 0.39 -0.44 449.898
2.26 995.00 4053.99 7452.04 -2.12 46.03 -16.42 -0.08 0.12 2.0 0.93 0.34 -0.50 450.375
13.99 993.62 4053.99 7452.04 3.80 -42.68 32.31 -0.22 0.21 2.0 0.95 0.37 -0.48 450.972
28.21 991.95 4053.99 7452.04 5.53 14.62 -5.01 -0.03 0.08 2.0 0.93 0.37 -0.43 451.377
49.83 989.40 4053.99 7452.04 0.56 50.06 -5.01 -0.14 0.07 1.12 0.99 0.36 -0.43 451.937
66.22 987.48 4053.99 7452.04 10.57 62.90 7.68 -0.06 0.06 0.21 1.02 0.36 -0.47 452.378
85.16 985.26 4053.99 7452.04 -1.35 64.36 8.02 0.03 0.02 0.01 1.06 0.36 -0.51 452.931
98.41 983.71 4053.99 7452.04 12.38 61.39 0.16 -0.05 0.04 -0.03 1.15 0.36 -0.48 453.389
111.14 982.23 4053.99 7452.04 2.50 50.30 -1.50 -0.03 0.00 -0.01 1.16 0.37 -0.44 453.984
120.30 981.16 4053.99 7452.04 11.09 45.45 -1.61 -0.03 0.00 0.0 1.16 0.37 -0.40 454.394
128.06 980.25 4053.99 7452.04 5.66 39.09 -9.13 -0.02 0.00 0.0 1.12 0.38 -0.37 454.972
133.04 979.67 4053.99 7452.04 2.70 34.09 -14.88 -0.03 0.01 0.01 1.05 0.37 -0.36 455.396
135.81 979.35 4053.99 7452.04 -7.56 34.53 -25.51 -0.04 0.03 0.01 0.95 0.36 -0.40 455.951
136.74 979.24 4053.99 7452.04 -27.79 -25.72 -19.07 2.00 1.70 -1.47 0.85 0.31 -0.50 456.399
136.84 979.23 4053.99 7452.04 64.09 -48.38 79.83 -0.47 2.00 -1.88 0.78 0.26 -0.39 456.92
132.94 979.69 4053.99 7452.04 83.11 -39.62 -85.03 -0.29 -0.11 -0.04 0.89 0.21 -0.11 457.402
124.68 980.65 4053.99 7452.04 140.93 -41.16 -88.05 -0.27 -0.27 -0.13 1.18 -0.47 -0.06 457.975
120.31 981.16 4053.99 7452.04 100.02 -84.08 -22.99 0.32 0.74 -0.06 1.46 -0.53 -0.52 458.404
109.77 982.39 4053.99 7452.04 -286.72 253.37 210.88 0.63 -1.15 -0.58 1.39 -0.36 -0.01 458.959
96.53 983.93 4053.99 7452.04 141.73 -121.82 -225.63 0.72 1.13 -1.59 1.36 -0.59 -0.30 459.407
94.28 984.20 4053.99 7452.04 151.23 15.18 -58.12 -0.16 0.21 -0.08 1.45 -0.29 -0.73 459.982
90.18 984.68 4053.99 7452.04 -139.58 83.24 100.57 -0.67 -0.06 -0.46 1.10 -0.32 0.04 460.408
84.56 985.33 4053.99 7452.04 -286.72 -64.84 65.68 -0.26 -0.32 -1.6 1.35 -0.53 -0.15 460.995
81.91 985.64 4053.96 7452.05 211.67 154.37 -43.62 0.32 0.02 -1.19 1.43 -0.51 -0.18 461.41
78.81 986.01 4053.96 7452.05 50.73 66.38 -123.49 -0.42 -0.03 -0.97 0.85 -0.45 -0.24 461.984
75.81 986.36 4053.96 7452.05 -32.65 57.27 135.16 -0.16 0.30 -1.31 1.19 -0.62 -0.39 462.412
