alt barom GPS_La GPS_Lo Gx Gy Gz Ax Ay Az Mx My Mz t
1.62 994.70 4053.99 7452.04 2.35 0.20 0.45 0.01 0.01 1.01 0.95 0.36 -0.30 935.457
1.73 994.69 4053.99 7452.04 2.72 0.26 0.58 0.01 0.01 1.0 0.95 0.37 -0.30 935.958
1.83 994.67 4053.99 7452.04 2.54 0.21 0.52 0.01 0.01 1.0 0.95 0.37 -0.29 936.459
1.99 994.66 4053.99 7452.04 2.55 0.31 0.38 0.01 0.01 1.0 0.95 0.37 -0.30 936.961
1.56 994.71 4053.99 7452.04 2.39 0.32 0.38 0.01 0.02 1.0 0.95 0.37 -0.30 937.461
1.34 994.73 4053.99 7452.04 2.69 0.25 0.38 0.01 0.01 1.0 0.95 0.37 -0.30 937.962
1.34 994.73 4053.99 7452.04 2.44 0.37 0.46 0.01 0.01 1.01 0.95 0.37 -0.30 938.463
1.61 994.70 4053.99 7452.04 2.45 0.29 0.31 0.01 0.02 1.01 0.95 0.37 -0.30 938.964
1.97 994.66 4053.99 7452.04 2.30 0.60 0.26 0.01 0.01 1.01 0.95 0.37 -0.30 939.465
1.68 994.69 4053.99 7452.04 2.47 0.34 0.21 0.01 0.02 1.0 0.95 0.37 -0.30 939.966
1.77 994.68 4053.99 7452.04 2.42 0.31 0.24 0.01 0.01 1.0 0.95 0.37 -0.29 940.467
1.74 994.69 4053.99 7452.04 2.49 0.25 0.45 0.01 0.02 1.0 0.95 0.37 -0.30 940.968
1.87 994.67 4053.99 7452.04 2.55 0.24 0.37 0.01 0.01 1.01 0.95 0.37 -0.29 941.469
3.42 994.49 4053.99 7452.04 6.06 -46.94 0.31 -0.13 0.03 2.0 1.04 0.27 -0.28 941.973
13.69 993.28 4053.99 7452.04 -3.43 -17.10 -34.08 0.02 -0.02 2.0 1.00 0.26 -0.30 942.478
32.61 991.05 4053.99 7452.04 -12.25 -34.26 19.18 0.00 -0.04 2.0 0.93 0.32 -0.34 942.98
51.34 988.85 4053.99 7452.04 11.86 -28.31 -8.73 0.01 0.01 1.53 1.01 0.35 -0.25 943.478
71.96 986.43 4053.99 7452.04 -1.86 -55.26 3.11 -0.07 -0.02 0.23 1.05 0.33 -0.21 943.98
84.14 985.01 4053.99 7452.04 3.12 -61.29 -8.64 -0.20 0.39 -0.03 1.18 0.33 -0.23 944.479
98.87 983.29 4053.99 7452.04 6.45 -65.54 -5.18 -0.01 0.01 -0.03 1.24 0.32 -0.27 944.98
