alt barom GPS_La GPS_Lo Gx Gy Gz Ax Ay Az Mx My Mz t
2.75 1005.45 4053.99 7452.05 2.27 -0.71 0.52 -0.04 0.04 1.0 1.06 0.37 -0.18 1013.624
2.91 1005.43 4053.99 7452.05 2.36 -1.44 0.67 -0.05 0.04 1.0 1.06 0.37 -0.19 1014.125
3.05 1005.41 4053.99 7452.05 2.07 -0.74 0.76 -0.05 0.04 1.0 1.06 0.37 -0.20 1014.626
3.47 1005.36 4053.99 7452.05 1.90 0.60 0.56 -0.05 0.03 1.0 1.06 0.36 -0.19 1015.127
3.24 1005.39 4053.99 7452.05 2.04 0.82 0.75 -0.06 0.03 1.0 1.05 0.37 -0.19 1015.627
2.51 1005.47 4053.99 7452.05 1.83 1.44 0.87 -0.05 0.03 1.01 1.06 0.37 -0.19 1016.128
3.53 1005.35 4053.99 7452.05 1.99 -0.40 1.06 -0.05 0.02 1.0 1.06 0.37 -0.19 1016.63
2.97 1005.42 4053.99 7452.05 2.09 1.01 0.67 -0.05 0.03 1.0 1.06 0.37 -0.19 1017.131
3.13 1005.40 4053.99 7452.05 1.97 2.51 0.65 -0.04 0.03 1.0 1.06 0.37 -0.19 1017.631
3.07 1005.41 4053.99 7452.05 1.96 2.34 0.61 -0.05 0.04 1.0 1.06 0.37 -0.19 1018.132
3.26 1005.38 4053.99 7452.05 2.14 -0.16 0.67 -0.04 0.04 1.0 1.06 0.37 -0.19 1018.634
3.14 1005.40 4053.99 7452.05 2.16 -0.93 0.50 -0.05 0.03 1.0 1.05 0.37 -0.19 1019.136
2.67 1005.45 4053.99 7452.05 2.25 -0.35 0.52 -0.05 0.03 1.0 1.06 0.37 -0.19 1019.636
2.71 1005.45 4053.99 7452.05 1.99 -0.26 0.73 -0.06 0.02 1.0 1.06 0.37 -0.18 1020.137
3.09 1005.41 4053.99 7452.05 2.12 1.16 0.53 -0.05 0.03 1.0 1.06 0.37 -0.18 1020.637
3.29 1005.38 4053.99 7452.05 2.07 1.09 0.77 -0.05 0.03 1.0 1.06 0.36 -0.19 1021.138
3.35 1005.37 4053.99 7452.05 2.04 1.27 0.54 -0.05 0.04 1.0 1.06 0.37 -0.18 1021.639
2.76 1005.44 4053.99 7452.05 2.00 2.00 0.68 -0.04 0.03 1.0 1.06 0.37 -0.19 1022.14
2.89 1005.43 4053.99 7452.05 2.04 0.29 0.68 -0.05 0.04 1.0 1.06 0.37 -0.18 1022.642
3.44 1005.36 4053.99 7452.05 2.05 0.06 0.44 -0.04 0.03 1.0 1.06 0.36 -0.19 1023.143
3.23 1005.39 4053.99 7452.05 2.28 -0.01 0.59 -0.05 0.04 1.0 1.06 0.37 -0.19 1023.645
3.64 1005.34 4053.99 7452.05 2.26 0.88 0.70 -0.05 0.03 1.0 1.05 0.36 -0.19 1024.145
3.45 1005.36 4053.99 7452.05 2.07 0.26 0.81 -0.05 0.03 1.0 1.06 0.37 -0.19 1024.647
6.14 1005.04 4053.99 7452.05 8.93 -18.35 -6.65 -0.07 0.80 2.0 1.03 0.37 -0.19 1025.15
19.46 1003.46 4053.99 7452.05 11.71 -35.45 -43.76 0.30 -0.41 2.0 0.94 0.32 -0.12 1025.654
38.09 1001.24 4053.99 7452.05 -40.78 -139.38 -25.58 0.21 -0.27 2.0 1.11 0.34 -0.16 1026.157
55.33 999.19 4053.99 7452.05 18.58 -21.90 27.25 0.03 -0.09 1.01 1.17 0.37 -0.28 1026.655
68.73 997.61 4053.99 7452.05 1.71 -24.53 -3.26 -0.06 -0.06 0.1 1.26 0.33 -0.26 1027.155
82.90 995.93 4053.99 7452.05 15.86 -3.19 7.39 0.03 0.02 -0.03 1.25 0.34 -0.28 1027.652
92.68 994.77 4053.99 7452.06 16.12 -2.12 8.07 -0.05 -0.00 -0.05 1.30 0.29 -0.23 1028.155
101.81 993.69 4053.99 7452.06 14.74 -5.91 0.55 0.00 0.01 -0.03 1.30 0.28 -0.20 1028.656
108.59 992.89 4053.99 7452.07 11.31 -4.57 18.90 -0.01 -0.01 -0.02 1.34 0.23 -0.18 1029.159
111.75 992.52 4053.99 7452.07 13.33 -6.07 6.29 -0.02 0.00 -0.01 1.40 0.17 -0.18 1029.658
115.18 992.12 4053.99 7452.08 31.57 -4.01 5.59 0.01 -0.03 -0.01 1.42 0.12 -0.14 1030.159
113.88 992.27 4053.99 7452.08 64.81 0.60 7.95 1.46 0.57 0.46 1.47 0.04 -0.13 1030.66
119.44 991.61 4053.99 7452.09 -85.27 11.33 3.49 -0.07 -0.30 0.0 1.43 0.11 -0.14 1031.164
120.02 991.55 4053.99 7452.09 1.48 115.32 48.50 -0.09 -0.27 -0.04 1.39 0.09 -0.08 1031.664
112.80 992.40 4053.99 7452.10 62.09 186.10 -100.48 -0.35 -0.02 -0.08 0.85 -0.20 0.03 1032.168
96.34 994.34 4053.99 7452.10 -120.24 89.98 -160.26 -0.14 0.25 -0.32 0.93 -0.57 -0.25 1032.67
94.87 994.51 4053.99 7452.11 -52.02 119.62 74.85 0.38 -0.59 -0.06 0.86 -0.20 0.05 1033.167
91.88 994.87 4053.99 7452.11 104.69 74.32 58.95 -0.64 -0.14 -0.05 0.73 0.26 -0.23 1033.668
68.04 997.69 4053.99 7452.12 82.26 -244.08 -286.72 -0.25 0.42 -0.87 0.93 -0.40 0.00 1034.171
86.97 995.45 4053.99 7452.12 -2.08 -262.54 69.74 -0.62 0.57 0.01 0.94 -0.12 -0.79 1034.673
46.07 1000.29 4053.99 7452.14 -250.76 248.17 82.10 0.26 0.10 -0.39 1.05 -0.62 -0.26 1035.173
13.54 1004.16 4053.99 7452.14 -39.83 119.70 137.57 0.31 0.50 -0.55 1.33 -0.31 -0.72 1035.674
32.41 1001.92 4053.99 7452.15 -86.08 -57.54 112.66 -1.00 -0.93 -0.25 0.64 -0.10 -0.16 1036.177
19.69 1003.43 4053.99 7452.15 286.68 -148.00 -140.22 -0.14 -0.40 -0.78 1.08 -0.47 -0.02 1036.681
1.84 1005.55 4053.99 7452.16 71.69 286.68 36.06 0.35 0.16 0.31 0.61 -0.15 -0.40 1037.175
0.52 1005.71 4053.99 7452.16 7.83 84.04 1.67 -2.00 0.05 -0.21 0.69 -0.19 -0.59 1037.673
0.66 1005.69 4053.99 7452.17 2.18 0.38 0.38 -0.99 0.23 -0.1 0.71 -0.19 -0.62 1038.173
0.89 1005.67 4053.99 7452.17 2.06 0.66 0.53 -0.99 0.23 -0.1 0.71 -0.19 -0.61 1038.674
0.73 1005.69 4053.99 7452.18 1.79 0.46 0.65 -0.99 0.23 -0.1 0.71 -0.19 -0.61 1039.175
0.20 1005.75 4053.99 7452.18 2.14 0.40 0.60 -0.99 0.23 -0.1 0.70 -0.19 -0.60 1039.676
0.75 1005.68 4053.99 7452.18 1.98 0.27 0.51 -0.99 0.23 -0.1 0.70 -0.19 -0.62 1040.178
0.46 1005.72 4053.99 7452.18 2.01 0.40 0.40 -0.99 0.23 -0.1 0.70 -0.19 -0.60 1040.679
0.40 1005.73 4054.00 7452.18 2.12 0.36 0.59 -1.01 0.23 -0.11 0.70 -0.19 -0.61 1041.18
0.55 1005.71 4054.00 7452.18 2.17 0.26 0.85 -0.99 0.23 -0.1 0.70 -0.19 -0.61 1041.681
0.83 1005.67 4054.00 7452.16 2.02 0.51 0.65 -0.99 0.23 -0.1 0.71 -0.19 -0.61 1042.183
0.58 1005.70 4054.00 7452.16 2.05 0.15 0.52 -0.99 0.23 -0.1 0.71 -0.19 -0.61 1042.683
1.26 1005.62 4054.00 7452.17 1.67 -0.06 0.64 -1.01 0.23 -0.09 0.70 -0.19 -0.60 1043.185
0.48 1005.72 4054.00 7452.17 2.00 0.33 0.41 -0.99 0.23 -0.1 0.71 -0.19 -0.61 1043.685
0.26 1005.74 4053.99 7452.14 1.86 0.29 0.53 -0.99 0.23 -0.1 0.71 -0.19 -0.60 1044.187
0.61 1005.70 4053.99 7452.14 1.65 0.42 0.50 -0.99 0.23 -0.1 0.71 -0.18 -0.61 1044.687
0.79 1005.68 4053.99 7452.13 2.04 0.24 0.49 -0.99 0.23 -0.1 0.70 -0.19 -0.61 1045.188
0.54 1005.71 4053.99 7452.13 2.00 0.30 0.52 -0.99 0.23 -0.1 0.70 -0.19 -0.61 1045.689
0.95 1005.66 4053.99 7452.12 1.77 0.31 0.71 -0.98 0.23 -0.1 0.70 -0.19 -0.61 1046.191
1.14 1005.64 4053.99 7452.12 2.09 0.32 0.54 -0.99 0.23 -0.1 0.70 -0.18 -0.62 1046.691
0.51 1005.71 4053.98 7452.11 1.86 0.29 0.57 -0.99 0.23 -0.1 0.70 -0.19 -0.62 1047.192
1.07 1005.65 4053.98 7452.11 2.11 0.38 0.84 -0.99 0.23 -0.1 0.71 -0.19 -0.61 1047.693
0.62 1005.70 4053.98 7452.11 1.81 0.48 0.68 -0.98 0.23 -0.11 0.71 -0.19 -0.61 1048.195
0.94 1005.66 4053.98 7452.11 1.98 0.37 0.32 -0.99 0.23 -0.1 0.71 -0.19 -0.61 1048.695
0.34 1005.73 4053.98 7452.11 2.15 0.53 0.40 -0.98 0.23 -0.09 0.70 -0.18 -0.60 1049.196
0.69 1005.69 4053.98 7452.11 2.06 0.35 0.59 -0.99 0.23 -0.1 0.70 -0.19 -0.60 1049.697
0.20 1005.75 4053.98 7452.11 1.87 0.39 0.80 -0.99 0.23 -0.1 0.70 -0.19 -0.61 1050.199
0.49 1005.72 4053.98 7452.11 1.86 0.46 0.63 -0.99 0.23 -0.1 0.71 -0.19 -0.60 1050.699
0.65 1005.70 4053.98 7452.11 1.95 0.52 0.70 -0.99 0.23 -0.1 0.71 -0.19 -0.61 1051.2
0.75 1005.68 4053.98 7452.11 1.73 0.29 0.68 -0.99 0.23 -0.1 0.70 -0.19 -0.61 1051.701
0.86 1005.67 4053.98 7452.11 2.21 0.32 0.73 -0.97 0.22 -0.11 0.71 -0.19 -0.61 1052.203
0.62 1005.70 4053.98 7452.11 1.87 0.29 0.80 -0.99 0.23 -0.1 0.70 -0.19 -0.62 1052.703
0.47 1005.72 4053.98 7452.11 1.72 0.52 0.63 -0.98 0.23 -0.1 0.70 -0.19 -0.60 1053.204
0.90 1005.67 4053.98 7452.11 2.22 0.29 0.48 -0.99 0.23 -0.1 0.71 -0.19 -0.61 1053.705
0.71 1005.69 4053.98 7452.11 2.07 0.25 0.71 -0.98 0.23 -0.1 0.70 -0.19 -0.61 1054.206
0.59 1005.70 4053.98 7452.11 2.07 0.21 0.52 -0.99 0.23 -0.1 0.71 -0.19 -0.62 1054.707
