alt barom GPS_La GPS_Lo Gx Gy Gz Ax Ay Az Mx My Mz t
-21.49 981.82 0 0 2.63 0.23 0.30 -0.04 -0.02 1.01 0.84 0.36 -0.56 0.5
-20.60 981.72 0 0 3.16 0.60 0.14 -0.05 -0.02 1.01 0.84 0.36 -0.56 1.0
-20.74 981.73 0 0 3.17 0.22 0.19 -0.04 -0.02 1.01 0.84 0.37 -0.56 1.5
-20.54 981.71 0 0 3.02 0.50 0.11 -0.05 -0.02 1.01 0.84 0.36 -0.56 2.0
-20.68 981.72 0 0 2.81 0.20 0.30 -0.05 -0.02 1.01 0.84 0.36 -0.55 2.5
-20.51 981.71 0 0 2.81 0.28 0.23 -0.04 -0.02 1.01 0.84 0.37 -0.56 3.0
-20.65 981.72 0 0 2.77 0.35 0.21 -0.04 -0.02 1.01 0.84 0.36 -0.55 3.5
-20.97 981.76 0 0 2.65 0.38 0.25 -0.05 -0.03 1.01 0.84 0.37 -0.56 4.0
-20.97 981.76 0 0 2.70 0.38 0.40 -0.04 -0.02 1.01 0.84 0.36 -0.55 4.5
-20.72 981.73 0 0 3.13 0.59 0.06 -0.05 -0.02 1.01 0.84 0.37 -0.55 5.0
-20.88 981.75 0 0 3.06 0.14 0.17 -0.06 -0.03 1.01 0.84 0.36 -0.55 5.5
-20.42 981.70 0 0 2.61 0.07 0.45 -0.05 -0.02 1.01 0.84 0.37 -0.56 6.0
-20.78 981.74 0 0 2.81 0.19 0.08 -0.04 -0.02 1.01 0.84 0.36 -0.56 6.5
-20.17 981.67 0 0 2.87 0.62 0.17 -0.05 -0.02 1.01 0.84 0.37 -0.55 7.0
-20.48 981.70 0 0 2.89 0.36 0.20 -0.05 -0.03 1.01 0.84 0.37 -0.56 7.5
-20.30 981.68 0 0 3.15 0.05 0.21 -0.05 -0.03 1.01 0.84 0.37 -0.56 8.0
-20.76 981.73 0 0 2.90 0.17 0.31 -0.05 -0.03 1.01 0.84 0.37 -0.56 8.5
-20.73 981.73 0 0 2.98 0.39 0.11 -0.04 -0.02 1.01 0.84 0.37 -0.56 9.0
-20.38 981.69 0 0 2.83 0.41 0.15 -0.05 -0.03 1.01 0.84 0.36 -0.55 9.5
-20.89 981.75 0 0 2.82 0.35 0.23 -0.05 -0.02 1.01 0.84 0.37 -0.56 10.0
-20.43 981.70 0 0 2.67 -0.26 0.34 -0.05 -0.03 1.01 0.84 0.36 -0.56 10.5
-20.38 981.69 0 0 3.02 0.57 0.19 -0.05 -0.02 1.01 0.84 0.37 -0.56 11.0
-20.55 981.71 0 0 2.84 0.26 0.19 -0.05 -0.03 1.01 0.84 0.36 -0.56 11.5
-20.29 981.68 0 0 2.92 0.11 0.22 -0.05 -0.02 1.01 0.84 0.36 -0.56 12.0
-20.45 981.70 0 0 2.91 0.38 0.34 -0.04 -0.02 1.01 0.84 0.37 -0.55 12.5
-20.26 981.68 0 0 2.84 0.45 0.17 -0.05 -0.02 1.01 0.84 0.36 -0.55 13.0
-20.36 981.69 0 0 2.67 0.04 0.31 -0.06 -0.02 1.01 0.84 0.37 -0.56 13.5
-20.69 981.73 0 0 2.93 0.35 0.52 -0.05 -0.03 1.01 0.84 0.37 -0.55 14.0
-20.72 981.73 0 0 2.95 0.45 0.38 -0.04 -0.03 1.01 0.84 0.37 -0.56 14.5
-20.22 981.67 0 0 2.93 0.65 0.13 -0.06 -0.03 1.01 0.84 0.36 -0.56 15.0
-20.55 981.71 0 0 2.82 0.09 0.31 -0.05 -0.02 1.01 0.84 0.37 -0.56 15.5
-20.22 981.67 0 0 2.84 0.22 0.42 -0.05 -0.04 1.01 0.84 0.37 -0.55 16.0
-20.20 981.67 0 0 3.02 0.03 0.20 -0.04 -0.02 1.01 0.84 0.36 -0.56 16.5
-20.81 981.74 0 0 2.95 0.34 0.13 -0.05 -0.03 1.01 0.84 0.37 -0.55 17.0
-20.63 981.72 0 0 3.16 0.78 0.39 -0.05 -0.02 1.01 0.84 0.37 -0.55 17.5
-20.66 981.72 0 0 3.10 0.30 0.13 -0.05 -0.02 1.01 0.84 0.37 -0.55 18.0
-20.80 981.74 0 0 2.95 0.67 0.31 -0.06 -0.02 1.01 0.84 0.36 -0.55 18.5
-20.31 981.68 0 0 2.57 -0.05 0.50 -0.05 -0.02 1.01 0.84 0.37 -0.55 19.0
-20.21 981.67 0 0 3.13 0.50 0.27 -0.04 -0.02 1.01 0.84 0.37 -0.56 19.5
-20.40 981.69 0 0 3.10 0.57 -0.15 -0.04 -0.03 1.01 0.83 0.37 -0.56 20.0
-20.79 981.74 0 0 2.81 0.44 0.36 -0.06 -0.03 1.01 0.84 0.37 -0.55 20.5
-21.07 981.77 0 0 2.72 -0.14 0.51 -0.04 -0.03 1.01 0.84 0.38 -0.55 21.0
-20.70 981.73 0 0 2.63 0.20 0.12 -0.04 -0.02 1.01 0.84 0.37 -0.55 21.5
-20.74 981.73 0 0 3.23 1.17 -0.06 -0.06 -0.03 1.01 0.83 0.37 -0.56 22.0
-20.60 981.72 0 0 2.70 0.03 0.29 -0.05 -0.03 1.01 0.84 0.37 -0.55 22.5
-20.15 981.66 0 0 3.12 0.50 0.26 -0.05 -0.03 1.01 0.84 0.37 -0.55 23.0
-20.35 981.69 0 0 2.78 0.57 0.14 -0.04 -0.03 1.01 0.84 0.37 -0.56 23.5
-20.69 981.73 0 0 2.87 0.03 0.40 -0.06 -0.02 1.01 0.84 0.37 -0.55 24.0
-20.96 981.76 0 0 2.69 0.67 0.30 -0.05 -0.02 1.01 0.84 0.37 -0.55 24.5
-20.60 981.72 0 0 2.75 -0.02 0.25 -0.04 -0.02 1.01 0.84 0.38 -0.56 25.0
-20.48 981.70 0 0 2.87 0.45 0.31 -0.05 -0.02 1.01 0.84 0.37 -0.55 25.5
-20.47 981.70 0 0 2.87 0.81 0.11 -0.04 -0.03 1.01 0.84 0.37 -0.55 26.0
-20.10 981.66 0 0 2.90 -0.04 0.43 -0.05 -0.03 1.01 0.83 0.37 -0.55 26.5
-20.48 981.70 0 0 3.14 0.77 0.11 -0.04 -0.02 1.01 0.84 0.37 -0.55 27.0
-20.23 981.67 0 0 2.73 0.38 0.26 -0.04 -0.02 1.01 0.84 0.37 -0.55 27.5
-20.13 981.66 0 0 2.79 0.31 0.38 -0.05 -0.03 1.01 0.84 0.37 -0.56 28.0
-20.52 981.71 0 0 2.98 0.25 0.63 -0.04 -0.01 1.01 0.84 0.37 -0.55 28.5
-20.16 981.66 0 0 2.98 0.67 0.03 -0.05 -0.02 1.01 0.84 0.37 -0.56 29.0
-20.56 981.71 0 0 2.78 0.42 0.18 -0.05 -0.02 1.01 0.83 0.37 -0.55 29.5
-20.29 981.68 0 0 2.91 0.12 0.34 -0.05 -0.02 1.01 0.84 0.37 -0.55 30.0
-19.50 981.59 0 0 3.04 0.67 0.24 -0.04 -0.02 1.01 0.84 0.37 -0.55 30.5
-19.62 981.60 0 0 2.82 0.57 0.41 -0.04 -0.02 1.01 0.84 0.36 -0.55 31.0
-20.14 981.66 0 0 2.72 -0.11 0.40 -0.04 -0.02 1.01 0.84 0.37 -0.55 31.5
-20.18 981.67 0 0 2.91 -0.60 0.36 -0.05 -0.02 1.0 0.84 0.37 -0.55 32.0
-20.59 981.72 0 0 3.10 1.47 0.38 -0.03 -0.03 1.01 0.83 0.37 -0.55 32.5
-20.21 981.67 0 0 2.98 0.14 0.16 0.00 -0.03 1.04 0.84 0.37 -0.55 33.0
-7.83 980.23 0 0 -21.30 -138.57 11.22 -0.49 -0.03 2.0 0.87 0.37 -0.58 33.5
64.39 971.87 0 0 -15.74 -286.72 64.20 -0.14 -0.00 2.0 0.80 0.38 -0.41 34.0
138.80 963.32 0 0 -33.31 257.54 23.12 -0.39 0.14 2.0 0.95 0.38 -0.31 34.5
285.18 946.66 0 0 -6.11 286.68 18.49 -0.69 0.23 2.0 1.08 0.38 -0.51 35.0
458.43 927.26 0 0 4.72 286.68 10.62 -0.26 1.75 2.0 0.94 0.37 -0.59 35.5
729.39 897.56 0 0 -10.32 286.68 -2.75 -0.63 0.74 2.0 0.82 0.38 -0.49 36.0
863.88 883.10 0 0 62.40 286.68 -1.29 -0.21 0.14 -0.33 1.11 0.38 -0.44 36.5
1069.35 861.39 0 0 48.34 286.68 13.85 0.08 0.79 -2.0 0.88 0.37 -0.56 37.0
1103.01 857.87 0 0 6.18 286.68 15.86 0.39 0.15 -2.0 0.85 0.38 -0.54 37.5
1233.60 844.34 0 0 5.72 286.68 14.41 0.21 -0.15 -2.0 0.81 0.37 -0.47 38.0
1356.33 831.78 0 0 30.03 286.68 0.42 -0.59 0.41 -2.0 0.89 0.38 -0.33 38.5
1476.33 819.65 0 0 24.21 286.68 7.96 -0.43 0.27 -1.81 1.06 0.37 -0.33 39.0
1589.20 808.36 0 0 26.04 286.68 -9.91 -0.06 -0.80 -1.7 1.12 0.37 -0.46 39.5
1698.96 797.51 0 0 -13.40 286.68 24.08 -0.16 -0.09 -1.42 1.02 0.37 -0.59 40.0
1798.76 787.75 0 0 18.26 286.68 -9.11 -0.00 -0.24 -1.68 0.82 0.37 -0.52 40.5
1898.18 778.12 0 0 22.98 286.68 -8.04 0.22 -0.79 -1.24 0.92 0.37 -0.29 41.0
1991.97 769.13 0 0 18.90 286.68 -11.10 0.15 -0.26 -1.07 1.14 0.36 -0.46 41.5
2079.94 760.77 0 0 24.95 286.68 -10.59 0.19 0.09 -0.56 0.85 0.37 -0.57 42.0
2165.22 752.73 0 0 25.25 286.68 11.63 -0.15 0.26 -1.0 1.01 0.36 -0.29 42.5
2247.67 745.03 0 0 -0.29 286.68 15.63 -0.11 -0.08 -0.94 0.96 0.36 -0.62 43.0
2321.96 738.14 0 0 15.35 286.68 -9.55 0.19 0.45 -0.12 0.92 0.36 -0.27 43.5
2394.46 731.47 0 0 9.63 286.68 10.32 -0.10 0.26 -0.16 0.99 0.36 -0.61 44.0
2461.92 725.31 0 0 13.97 286.68 -4.89 0.20 -0.22 -0.17 0.99 0.36 -0.27 44.5
2528.38 719.28 0 0 9.83 276.54 6.26 0.08 -0.05 -1.21 0.83 0.36 -0.59 45.0
2590.84 713.65 0 0 14.95 262.17 1.43 0.00 0.16 -0.1 1.14 0.36 -0.41 45.5
2649.84 708.37 0 0 7.28 260.34 -1.65 0.68 0.21 0.04 0.79 0.36 -0.35 46.0
2705.67 703.39 0 0 7.38 244.08 3.16 -0.17 -0.04 -0.66 0.97 0.35 -0.64 46.5
